Dataset,Label,Initial Set Description,Method,Budget,Seed,Initial Set Size,Initial Test R2,Labeled Set Size,Test R2
USAVARS,POP,IDs_1000_counties_3_points_seed_42,inversetypiclust,100,789,1966,0.6019016595072297,2066,0.603394783606849
USAVARS,POP,IDs_1000_counties_3_points_seed_42,inversetypiclust,100,1,1966,0.6019016595072297,2066,0.6047648036122064
USAVARS,POP,IDs_1000_counties_3_points_seed_42,inversetypiclust,100,42,1966,0.6019016595072297,2066,0.6027734900017836
USAVARS,POP,IDs_1000_counties_3_points_seed_42,inversetypiclust,100,123,1966,0.6019016595072297,2066,0.6032193455055599
USAVARS,POP,IDs_1000_counties_3_points_seed_42,inversetypiclust,100,456,1966,0.6019016595072297,2066,0.6016772755836308
USAVARS,POP,IDs_1000_counties_3_points_seed_42,random,100,123,1966,0.6019016595072297,2066,0.5959558408689711
USAVARS,POP,IDs_1000_counties_3_points_seed_42,random,100,42,1966,0.6019016595072297,2066,0.6046955243594179
USAVARS,POP,IDs_1000_counties_3_points_seed_42,random,100,1,1966,0.6019016595072297,2066,0.6032782917134896
USAVARS,POP,IDs_1000_counties_3_points_seed_42,random,100,789,1966,0.6019016595072297,2066,0.6003046603517015
USAVARS,POP,IDs_1000_counties_3_points_seed_42,random,100,456,1966,0.6019016595072297,2066,0.600729931497876
USAVARS,POP,IDs_1000_counties_3_points_seed_42,typiclust,100,456,1966,0.6019016595072297,2066,0.6011438545793568
USAVARS,POP,IDs_1000_counties_3_points_seed_42,typiclust,100,1,1966,0.6019016595072297,2066,0.5998116246653729
USAVARS,POP,IDs_1000_counties_3_points_seed_42,typiclust,100,123,1966,0.6019016595072297,2066,0.6024601508133914
USAVARS,POP,IDs_1000_counties_3_points_seed_42,typiclust,100,789,1966,0.6019016595072297,2066,0.600035083391629
USAVARS,POP,IDs_1000_counties_3_points_seed_42,typiclust,100,42,1966,0.6019016595072297,2066,0.6024939259408291
USAVARS,POP,IDs_1000_counties_3_points_seed_42,random,1000,123,1966,0.6019016595072297,2966,0.6497314666385934
USAVARS,POP,IDs_1000_counties_3_points_seed_42,random,1000,42,1966,0.6019016595072297,2966,0.6315031796863254
USAVARS,POP,IDs_1000_counties_3_points_seed_42,random,1000,1,1966,0.6019016595072297,2966,0.6521081700052044
USAVARS,POP,IDs_1000_counties_3_points_seed_42,random,1000,456,1966,0.6019016595072297,2966,0.649287950514253
USAVARS,POP,IDs_1000_counties_3_points_seed_42,random,1000,789,1966,0.6019016595072297,2966,0.6611127856708914
USAVARS,POP,IDs_1000_counties_3_points_seed_42,typiclust,1000,123,1966,0.6019016595072297,2966,0.6473986162011294
USAVARS,POP,IDs_1000_counties_3_points_seed_42,typiclust,1000,42,1966,0.6019016595072297,2966,0.6376213739897088
USAVARS,POP,IDs_1000_counties_3_points_seed_42,typiclust,1000,1,1966,0.6019016595072297,2966,0.6450021315920504
USAVARS,POP,IDs_1000_counties_6_points_seed_42,inversetypiclust,100,42,3845,0.6433320961187281,3945,0.651744315566922
USAVARS,POP,IDs_1000_counties_6_points_seed_42,inversetypiclust,100,1,3845,0.6433320961187281,3945,0.6523409546325023
USAVARS,POP,IDs_1000_counties_6_points_seed_42,inversetypiclust,100,456,3845,0.6433320961187281,3945,0.6497334336510058
USAVARS,POP,IDs_1000_counties_6_points_seed_42,inversetypiclust,100,123,3845,0.6433320961187281,3945,0.6497677361923362
USAVARS,POP,IDs_1000_counties_6_points_seed_42,inversetypiclust,100,789,3845,0.6433320961187281,3945,0.6518834896820704
USAVARS,POP,IDs_1000_counties_6_points_seed_42,random,100,789,3845,0.6433320961187281,3945,0.6478941422900779
USAVARS,POP,IDs_1000_counties_6_points_seed_42,random,100,456,3845,0.6433320961187281,3945,0.6459378202112681
USAVARS,POP,IDs_1000_counties_6_points_seed_42,random,100,1,3845,0.6433320961187281,3945,0.6469838077969239
USAVARS,POP,IDs_1000_counties_6_points_seed_42,random,100,42,3845,0.6433320961187281,3945,0.6478411374596101
USAVARS,POP,IDs_1000_counties_6_points_seed_42,random,100,123,3845,0.6433320961187281,3945,0.6486046933798415
USAVARS,POP,IDs_1000_counties_6_points_seed_42,typiclust,100,1,3845,0.6433320961187281,3945,0.6475563385206726
USAVARS,POP,IDs_1000_counties_6_points_seed_42,typiclust,100,42,3845,0.6433320961187281,3945,0.6472545464179098
USAVARS,POP,IDs_1000_counties_6_points_seed_42,typiclust,100,789,3845,0.6433320961187281,3945,0.6490625237611481
USAVARS,POP,IDs_1000_counties_6_points_seed_42,typiclust,100,123,3845,0.6433320961187281,3945,0.650390777466541
USAVARS,POP,IDs_1000_counties_6_points_seed_42,typiclust,100,456,3845,0.6433320961187281,3945,0.649540280862832
USAVARS,POP,IDs_1000_counties_6_points_seed_42,random,1000,42,3845,0.6433320961187281,4845,0.6721883368819228
USAVARS,POP,IDs_1000_counties_6_points_seed_42,random,1000,456,3845,0.6433320961187281,4845,0.6690792497258771
USAVARS,POP,IDs_1000_counties_6_points_seed_42,random,1000,123,3845,0.6433320961187281,4845,0.6729197246799458
USAVARS,POP,IDs_1000_counties_6_points_seed_42,random,1000,1,3845,0.6433320961187281,4845,0.6688785661477656
USAVARS,POP,IDs_1000_counties_6_points_seed_42,random,1000,789,3845,0.6433320961187281,4845,0.6684416876685291
USAVARS,POP,IDs_1000_counties_6_points_seed_42,typiclust,1000,1,3845,0.6433320961187281,4845,0.663168958826202
USAVARS,POP,IDs_1000_counties_6_points_seed_42,typiclust,1000,42,3845,0.6433320961187281,4845,0.6635531721786322
USAVARS,POP,IDs_1000_counties_6_points_seed_42,typiclust,1000,123,3845,0.6433320961187281,4845,0.6672780710330564
USAVARS,POP,IDs_100_counties_5_points_seed_42,inversetypiclust,100,789,307,0.45100074091990994,407,0.49997394723233757
USAVARS,POP,IDs_100_counties_5_points_seed_42,inversetypiclust,100,456,307,0.45100074091990994,407,0.4892117903347113
USAVARS,POP,IDs_100_counties_5_points_seed_42,inversetypiclust,100,1,307,0.45100074091990994,407,0.5225285746486479
USAVARS,POP,IDs_100_counties_5_points_seed_42,inversetypiclust,100,42,307,0.45100074091990994,407,0.5170849208859853
