Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2
inversetypiclust,789,295,0.4678260615656572,10,0.4595355726528926
inversetypiclust,1,295,0.4678260615656572,10,0.47685329472667015
inversetypiclust,42,295,0.4678260615656572,10,0.45929858320708783
inversetypiclust,456,295,0.4678260615656572,10,0.46613407233040627
inversetypiclust,123,295,0.4678260615656572,10,0.46487777115798656
inversetypiclust,789,295,0.4678260615656572,20,0.4771370531271907
inversetypiclust,1,295,0.4678260615656572,20,0.48998546674209487
inversetypiclust,42,295,0.4678260615656572,20,0.46511692052210585
inversetypiclust,456,295,0.4678260615656572,20,0.4675889733460866
inversetypiclust,123,295,0.4678260615656572,20,0.4657796608438548
inversetypiclust,789,295,0.4678260615656572,30,0.468222986460023
inversetypiclust,1,295,0.4678260615656572,30,0.48552689026974727
inversetypiclust,42,295,0.4678260615656572,30,0.46212050978279906
inversetypiclust,456,295,0.4678260615656572,30,0.471813540734358
inversetypiclust,123,295,0.4678260615656572,30,0.46528114043056046
inversetypiclust,789,295,0.4678260615656572,40,0.4846473417884235
inversetypiclust,1,295,0.4678260615656572,40,0.4768673578923146
inversetypiclust,42,295,0.4678260615656572,40,0.47824819024523035
inversetypiclust,456,295,0.4678260615656572,40,0.47528265084751864
inversetypiclust,123,295,0.4678260615656572,40,0.4940805265878777
inversetypiclust,789,295,0.4678260615656572,50,0.47628854016689337
inversetypiclust,1,295,0.4678260615656572,50,0.48631501296409363
inversetypiclust,42,295,0.4678260615656572,50,0.4791255467093981
inversetypiclust,456,295,0.4678260615656572,50,0.47875162594679666
inversetypiclust,123,295,0.4678260615656572,50,0.5001041010202152
inversetypiclust,789,295,0.4678260615656572,60,0.47161960939587466
inversetypiclust,1,295,0.4678260615656572,60,0.5215834251938863
inversetypiclust,42,295,0.4678260615656572,60,0.49070231124679964
inversetypiclust,456,295,0.4678260615656572,60,0.4813070435139667
inversetypiclust,123,295,0.4678260615656572,60,0.4733936884072021
inversetypiclust,789,295,0.4678260615656572,70,0.4857674282234159
inversetypiclust,1,295,0.4678260615656572,70,0.5063156818706136
inversetypiclust,42,295,0.4678260615656572,70,0.49641308374782056
inversetypiclust,456,295,0.4678260615656572,70,0.4830594161286126
inversetypiclust,123,295,0.4678260615656572,70,0.4782944667294359
inversetypiclust,789,295,0.4678260615656572,80,0.4831101399169945
inversetypiclust,1,295,0.4678260615656572,80,0.4969078349342858
inversetypiclust,42,295,0.4678260615656572,80,0.4912926593336411
inversetypiclust,456,295,0.4678260615656572,80,0.47975470558339284
inversetypiclust,123,295,0.4678260615656572,80,0.5193419981406606
inversetypiclust,789,295,0.4678260615656572,90,0.5021798885183083
inversetypiclust,1,295,0.4678260615656572,90,0.5044628472432613
inversetypiclust,42,295,0.4678260615656572,90,0.5225172737589263
inversetypiclust,456,295,0.4678260615656572,90,0.48328298170573236
inversetypiclust,123,295,0.4678260615656572,90,0.5238865643190994
inversetypiclust,789,295,0.4678260615656572,100,0.48966909186122953
inversetypiclust,1,295,0.4678260615656572,100,0.49429117614870877
inversetypiclust,42,295,0.4678260615656572,100,0.48737526127713315
inversetypiclust,456,295,0.4678260615656572,100,0.4904681745080647
inversetypiclust,123,295,0.4678260615656572,100,0.4974377996427177
inversetypiclust,789,295,0.4678260615656572,150,0.4983797228730722
inversetypiclust,1,295,0.4678260615656572,150,0.4927132332820109
inversetypiclust,42,295,0.4678260615656572,150,0.4953685573784873
inversetypiclust,456,295,0.4678260615656572,150,0.5024944702559893
inversetypiclust,123,295,0.4678260615656572,150,0.5354129794704399
