Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2,Total Cost
greedycost,789,50,0.11568860813931381,10,0.22215223186297994,59.0
greedycost,1,50,0.11568860813931381,10,0.13713512304515918,54.0
greedycost,42,50,0.11568860813931381,10,0.21659806675673232,56.0
greedycost,456,50,0.11568860813931381,10,0.22533595411266316,59.0
greedycost,123,50,0.11568860813931381,10,0.05685391984285093,55.0
greedycost,789,50,0.11568860813931381,20,0.1738033443014788,71.0
greedycost,1,50,0.11568860813931381,20,0.22598579126980012,64.0
greedycost,42,50,0.11568860813931381,20,0.2933607571747846,64.0
greedycost,456,50,0.11568860813931381,20,0.2063861480443212,70.0
greedycost,123,50,0.11568860813931381,20,0.2380742777791276,77.0
greedycost,789,50,0.11568860813931381,30,0.24551421807600604,83.0
greedycost,1,50,0.11568860813931381,30,0.24227012090489242,71.0
greedycost,42,50,0.11568860813931381,30,0.35001724916733545,76.0
greedycost,456,50,0.11568860813931381,30,0.22258947613340707,81.0
greedycost,123,50,0.11568860813931381,30,0.33327001792422384,88.0
greedycost,789,50,0.11568860813931381,40,0.23234004464775293,89.0
greedycost,1,50,0.11568860813931381,40,0.2693128823499362,81.0
greedycost,42,50,0.11568860813931381,40,0.3424075177507049,85.0
greedycost,456,50,0.11568860813931381,40,0.2435108900390941,86.0
greedycost,123,50,0.11568860813931381,40,0.34951506187406467,95.0
greedycost,789,50,0.11568860813931381,50,0.31037488512126044,102.0
greedycost,1,50,0.11568860813931381,50,0.2770674910097579,85.0
greedycost,42,50,0.11568860813931381,50,0.34323986989098965,95.0
greedycost,456,50,0.11568860813931381,50,0.3217309272679564,97.0
greedycost,123,50,0.11568860813931381,50,0.37554377314053955,101.0
greedycost,789,50,0.11568860813931381,60,0.36465668567866083,114.0
greedycost,1,50,0.11568860813931381,60,0.2831723406231593,96.0
greedycost,42,50,0.11568860813931381,60,0.3545589370879585,110.0
greedycost,456,50,0.11568860813931381,60,0.3548982789854819,106.0
greedycost,123,50,0.11568860813931381,60,0.3820866821862078,108.0
greedycost,789,50,0.11568860813931381,70,0.3084611123101646,123.0
greedycost,1,50,0.11568860813931381,70,0.29969816376225544,104.0
greedycost,42,50,0.11568860813931381,70,0.3663753382618635,120.0
greedycost,456,50,0.11568860813931381,70,0.33300159335392054,119.0
greedycost,123,50,0.11568860813931381,70,0.4170990588113873,114.0
greedycost,789,50,0.11568860813931381,80,0.3229793693796016,129.0
greedycost,1,50,0.11568860813931381,80,0.35048072255317,114.0
greedycost,42,50,0.11568860813931381,80,0.39250191420956737,128.0
greedycost,456,50,0.11568860813931381,80,0.2778972795860417,130.0
greedycost,123,50,0.11568860813931381,80,0.3745907512571631,122.0
greedycost,789,50,0.11568860813931381,90,0.34926107154466846,138.0
greedycost,1,50,0.11568860813931381,90,0.33224041319768594,119.0
greedycost,42,50,0.11568860813931381,90,0.4019087643452165,137.0
greedycost,456,50,0.11568860813931381,90,0.3027264755711636,139.0
greedycost,123,50,0.11568860813931381,90,0.3426651661000286,130.0
greedycost,789,50,0.11568860813931381,100,0.3511798057542098,145.0
greedycost,1,50,0.11568860813931381,100,0.3520986356455851,129.0
greedycost,42,50,0.11568860813931381,100,0.4081058507968941,143.0
greedycost,456,50,0.11568860813931381,100,0.33819364465108015,151.0
greedycost,123,50,0.11568860813931381,100,0.386602035157931,140.0
greedycost,789,50,0.11568860813931381,110,0.4176087599574684,159.0
greedycost,1,50,0.11568860813931381,110,0.3602684772307665,143.0
greedycost,42,50,0.11568860813931381,110,0.4167914695020596,150.0
greedycost,456,50,0.11568860813931381,110,0.3105119456742651,164.0
greedycost,123,50,0.11568860813931381,110,0.4025366369804634,146.0
greedycost,789,50,0.11568860813931381,120,0.38375345821642837,173.0
greedycost,1,50,0.11568860813931381,120,0.36083337881391486,149.0
greedycost,42,50,0.11568860813931381,120,0.4242256291297536,154.0
greedycost,456,50,0.11568860813931381,120,0.33711482708135043,176.0
greedycost,123,50,0.11568860813931381,120,0.4026741710736439,152.0
